YYYYMMDDHHmmss,Hostname,IP,CPU_Usage,Memory_Usage,Swap_Usage,Filesystem_Usage,Ping_Status
20250908000000,h1,10.0.0.1,47,20,9,20,OK
20250908000100,h1,10.0.0.1,81,29,30,67,LOSS
20250908000200,h1,10.0.0.1,31,16,30,19,OK
20250908000300,h1,10.0.0.1,25,47,15,56,OK
20250908000400,h1,10.0.0.1,69,92,15,25,OK
20250908000500,h1,10.0.0.1,38,32,10,42,OK
20250908000600,h1,10.0.0.1,24,20,14,93,OK
20250908000700,h1,10.0.0.1,73,75,5,26,OK
20250908000800,h1,10.0.0.1,53,5,32,82,OK
20250908000900,h1,10.0.0.1,56,50,40,15,OK
20250908001000,h1,10.0.0.1,52,32,26,54,OK
20250908001100,h1,10.0.0.1,38,64,43,68,OK
20250908001200,h1,10.0.0.1,9,17,7,2,OK
20250908001300,h1,10.0.0.1,50,49,38,73,OK
20250908001400,h1,10.0.0.1,43,49,29,40,OK
20250908001500,h1,10.0.0.1,70,11,24,3,OK
20250908001600,h1,10.0.0.1,74,56,6,63,OK
20250908001700,h1,10.0.0.1,8,98,20,11,OK
20250908001800,h1,10.0.0.1,71,4,26,10,OK
20250908001900,h1,10.0.0.1,62,95,4,99,OK
20250908002000,h1,10.0.0.1,54,33,14,63,OK
20250908002100,h1,10.0.0.1,28,20,32,37,OK
20250908002200,h1,10.0.0.1,7,52,27,87,OK
20250908002300,h1,10.0.0.1,65,85,8,48,OK
20250908002400,h1,10.0.0.1,93,80,49,89,OK
20250908002500,h1,10.0.0.1,90,60,9,17,OK
20250908002600,h1,10.0.0.1,57,98,10,11,OK
20250908002700,h1,10.0.0.1,18,6,12,83,OK
20250908002800,h1,10.0.0.1,42,27,33,12,OK
20250908002900,h1,10.0.0.1,89,52,20,4,OK
20250908003000,h1,10.0.0.1,11,37,30,48,OK
20250908003100,h1,10.0.0.1,61,97,40,60,OK
20250908003200,h1,10.0.0.1,3,5,27,98,OK
20250908003300,h1,10.0.0.1,31,95,6,17,OK
20250908003400,h1,10.0.0.1,36,75,4,73,OK
20250908003500,h1,10.0.0.1,60,69,13,29,OK
20250908003600,h1,10.0.0.1,34,28,35,41,OK
20250908003700,h1,10.0.0.1,61,6,29,95,OK
20250908003800,h1,10.0.0.1,46,76,37,42,OK
20250908003900,h1,10.0.0.1,77,51,15,84,OK
20250908004000,h1,10.0.0.1,87,81,23,27,OK
20250908004100,h1,10.0.0.1,71,76,36,5,OK
20250908004200,h1,10.0.0.1,5,19,28,74,OK
20250908004300,h1,10.0.0.1,15,10,32,83,OK
20250908004400,h1,10.0.0.1,40,37,19,27,OK
20250908004500,h1,10.0.0.1,31,69,18,30,OK
20250908004600,h1,10.0.0.1,50,98,10,20,OK
20250908004700,h1,10.0.0.1,68,29,39,66,OK
20250908004800,h1,10.0.0.1,50,77,10,99,OK
20250908004900,h1,10.0.0.1,53,45,32,14,OK
20250908005000,h1,10.0.0.1,84,91,41,99,OK
20250908005100,h1,10.0.0.1,65,78,42,73,OK
20250908005200,h1,10.0.0.1,38,99,9,16,OK
20250908005300,h1,10.0.0.1,81,20,9,38,OK
20250908005400,h1,10.0.0.1,65,35,17,55,LOSS
20250908005500,h1,10.0.0.1,62,74,28,99,OK
20250908005600,h1,10.0.0.1,5,22,12,17,OK
20250908005700,h1,10.0.0.1,18,15,1,62,OK
20250908005800,h1,10.0.0.1,32,17,27,24,OK
20250908005900,h1,10.0.0.1,20,31,49,66,OK
20250908010000,h1,10.0.0.1,22,66,30,68,OK
20250908010100,h1,10.0.0.1,34,74,11,37,OK
20250908010200,h1,10.0.0.1,2,4,8,96,LOSS
20250908010300,h1,10.0.0.1,70,92,13,87,LOSS
20250908010400,h1,10.0.0.1,95,15,17,67,OK
20250908010500,h1,10.0.0.1,24,51,25,67,OK
20250908010600,h1,10.0.0.1,84,38,3,29,OK
20250908010700,h1,10.0.0.1,30,82,20,3,OK
20250908010800,h1,10.0.0.1,22,14,4,50,OK
20250908010900,h1,10.0.0.1,8,15,6,10,OK
20250908011000,h1,10.0.0.1,77,63,30,33,OK
20250908011100,h1,10.0.0.1,31,23,13,43,OK
20250908011200,h1,10.0.0.1,57,86,49,90,OK
20250908011300,h1,10.0.0.1,20,73,26,48,OK
20250908011400,h1,10.0.0.1,81,31,18,3,OK
20250908011500,h1,10.0.0.1,75,92,25,38,OK
20250908011600,h1,10.0.0.1,31,78,45,1,OK
20250908011700,h1,10.0.0.1,44,52,28,6,LOSS
20250908011800,h1,10.0.0.1,23,74,39,94,LOSS
20250908011900,h1,10.0.0.1,70,31,28,35,OK
20250908012000,h1,10.0.0.1,32,73,12,90,OK
20250908012100,h1,10.0.0.1,47,77,41,98,OK
20250908012200,h1,10.0.0.1,73,97,49,52,OK
20250908012300,h1,10.0.0.1,99,59,26,9,OK
20250908012400,h1,10.0.0.1,66,61,36,64,OK
20250908012500,h1,10.0.0.1,60,51,22,76,OK
20250908012600,h1,10.0.0.1,93,7,36,9,OK
20250908012700,h1,10.0.0.1,37,2,14,24,OK
20250908012800,h1,10.0.0.1,35,24,20,66,OK
20250908012900,h1,10.0.0.1,60,60,49,34,OK
20250908013000,h1,10.0.0.1,8,71,5,8,OK
20250908013100,h1,10.0.0.1,28,43,45,68,OK
20250908013200,h1,10.0.0.1,69,12,24,87,OK
